BoatName,BoatID,Day,Kg,Duration,Temperature,temperature,chlor_a,geometry
Mason,111,2020-04-25,11908,12,13.2,12.07388800000001,1.06,POINT (99 246)
Mason,111,2020-04-26,9100,12,13.0,13.261009999999999,1.2,POINT (99 246)
Mason,111,2020-04-27,21788,12,13.3,15.745671500000014,1.29,POINT (99 247)
Mason,111,2020-04-28,27378,12,13.1,13.302621499999987,1.28,POINT (99 247)
Mason,111,2020-05-02,4420,12,14.8,12.659115000000043,0.72,POINT (100 247)
Mason,111,2020-05-03,2184,12,11.2,14.47541000000001,1.2,POINT (99 247)
Mason,111,2020-05-04,19604,12,10.2,13.117865000000052,1.41,POINT (99 247)
Mason,111,2020-05-05,1248,12,10.4,13.295993500000009,1.26,POINT (99 247)
Mason,111,2020-05-12,28756,12,9.5,9.096650000000011,1.06,POINT (95 243)
Mason,111,2020-05-13,260,0,9.3,10.051615000000027,0.38,POINT (95 243)
Mason,111,2020-05-14,17108,0,10.7,11.476970000000051,1.19,POINT (95 242)
Mason,111,2020-05-15,468,0,10.7,10.911179500000003,1.17,POINT (95 243)
Mason,111,2020-05-20,1560,0,9.5,11.93776600000001,1.19,POINT (94 242)
Mason,111,2020-05-21,3484,0,8.9,8.681100000000015,1.15,POINT (94 242)
Mason,111,2020-05-25,208,0,9.0,9.20969500000001,1.31,POINT (93 241)
Mason,111,2020-05-28,208,0,12.7,11.598878000000013,1.2,POINT (95 239)
Mason,111,2020-05-29,14092,0,12.7,10.96133850000001,1.16,POINT (94 239)
Mason,111,2020-05-30,22490,0,11.9,10.966255000000046,1.09,POINT (94 239)
Mason,111,2020-05-31,22646,0,11.4,10.756204000000025,1.69,POINT (94 239)
Mason,111,2020-06-01,25922,0,11.0,8.316765000000032,0.84,POINT (94 240)
Mason,111,2020-06-02,7462,0,10.9,11.014922000000013,1.1,POINT (94 240)
Mason,111,2020-06-07,1014,12,11.0,10.258874999999989,1.26,POINT (93 239)
Mason,111,2020-06-08,884,12,11.6,11.846183999999994,0.99,POINT (94 238)
Mason,111,2020-06-09,16484,12,10.4,10.728018500000019,0.85,POINT (93 239)
Mason,111,2020-06-10,1248,12,10.4,10.388498500000026,0.32,POINT (93 239)
Mason,111,2020-06-11,8086,12,9.5,9.84426000000002,1.59,POINT (93 239)
Mason,111,2020-06-12,17498,12,10.5,9.978950000000054,1.57,POINT (93 239)
Mason,111,2020-06-14,3788,12,9.6,9.453309999999988,1.21,POINT (94 239)
Mason,111,2020-06-15,12740,12,10.0,9.870710000000031,1.24,POINT (94 239)
Mason,111,2020-06-16,13702,12,9.8,9.622670000000028,1.21,POINT (94 239)
Mason,111,2020-06-17,2366,12,10.5,9.975307000000043,1.2,POINT (94 239)
Mason,111,2020-06-18,26166,12,11.1,9.966409999999996,1.39,POINT (96 241)
Mason,111,2020-06-19,10686,12,11.2,10.615584000000013,0.14,POINT (96 240)
Mason,111,2020-06-20,18408,12,11.6,10.293364999999994,1.16,POINT (96 241)
Mason,111,2020-06-21,25386,12,11.3,10.188497999999981,0.55,POINT (96 241)
Mason,111,2020-06-22,21268,12,10.9,10.003726000000029,1.33,POINT (96 241)
Mason,111,2020-06-23,8554,12,11.0,9.790569000000005,1.37,POINT (96 241)
Mason,111,2020-06-24,2808,12,10.8,9.80642499999999,1.14,POINT (95 240)
Mason,111,2020-06-25,6916,12,9.7,9.09208000000001,1.05,POINT (95 241)
Mason,111,2020-06-26,7306,12,10.4,9.911110000000008,0.67,POINT (96 241)
Rey,112,2020-01-11,45190,12,13.9,13.858900000000006,1.22,POINT (89 235)
Rey,112,2020-01-12,30885,12,14.1,13.324835000000007,1.06,POINT (87 235)
Rey,112,2020-01-13,8081,12,14.5,14.176845000000014,1.25,POINT (88 235)
Rey,112,2020-01-14,7565,12,14.7,14.693399999999997,0.83,POINT (90 235)
Rey,112,2020-01-17,11070,12,13.5,13.716470000000072,0.69,POINT (90 235)
Rey,112,2020-01-18,24846,12,14.2,14.384240000000034,1.06,POINT (89 232)
Rey,112,2020-01-19,50676,12,14.8,15.019845000000032,0.57,POINT (90 232)
Rey,112,2020-01-20,44329,12,14.9,15.241665000000012,0.68,POINT (90 232)
Rey,112,2020-01-21,50196,12,15.4,15.956504999999993,0.56,POINT (90 232)
Rey,112,2020-01-22,6298,12,16.1,16.399414999999976,0.69,POINT (90 230)
Rey,112,2020-01-23,13173,12,15.8,15.40687250000002,1.09,POINT (90 233)
Rey,112,2020-01-24,14784,12,14.9,15.43709350000006,0.93,POINT (89 235)
Rey,112,2020-01-25,32472,12,14.5,13.498815000000036,1.3,POINT (88 234)
